tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,delayed,actual_delay_days
TRK-217301,Hamburg Port (DE),Port of New York (US),DHL Express,29,674,8169.82,0.82,0.28,1,6.4
TRK-160738,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,19,1177,4167.81,0.8,0.29,1,7.1
TRK-189814,Rotterdam (NL),Port of Seattle (US),Maersk Line,11,1319,3046.96,0.42,0.68,1,3.0
TRK-897549,Yokohama (JP),Port of Long Beach (US),DHL Express,20,368,5117.65,0.09,0.41,0,0.0
TRK-791798,Shenzhen Port (CN),Port of Oakland (US),DHL Express,23,1181,3236.56,0.92,0.8,1,8.7
TRK-377932,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,25,1764,4357.15,0.28,0.54,0,0.0
TRK-322086,Yokohama (JP),Port of Vancouver (CA),DHL Express,20,587,5110.4,0.52,0.64,1,5.7
TRK-847581,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,33,2394,7655.7,0.19,0.16,0,0.0
TRK-559381,Yokohama (JP),Port of Seattle (US),Maersk Line,33,1343,4569.49,0.82,0.68,1,10.1
TRK-359947,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,30,2488,6172.47,0.44,0.41,1,7.3
TRK-122056,Yokohama (JP),Port of Oakland (US),DHL Express,9,1731,3869.72,0.2,0.11,0,0.0
TRK-717024,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Maersk Line,27,2405,6432.37,0.9,0.57,1,8.2
TRK-842225,Rotterdam (NL),Port of Los Angeles (US),DHL Express,32,1668,7776.71,0.9,0.4,1,10.7
TRK-170674,Shanghai Port (CN),Port of New York (US),Maersk Line,14,1166,2343.75,0.14,0.07,0,0.0
TRK-639131,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,23,853,3788.7,0.34,0.81,1,4.9
TRK-324643,Yokohama (JP),Port of Long Beach (US),Global Freight Air,6,214,944.24,0.68,0.62,1,4.6
TRK-704201,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,8,828,2160.02,0.21,0.73,0,0.0
TRK-946721,Shenzhen Port (CN),Port of Long Beach (US),Maersk Line,7,1222,2041.17,0.75,0.36,1,4.8
TRK-201639,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,9,1648,2993.46,0.39,0.53,0,0.0
TRK-544154,Shenzhen Port (CN),Port of Seattle (US),Maersk Line,24,2003,5265.05,0.14,0.1,0,0.0
TRK-806073,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,33,175,9114.66,0.66,0.48,1,8.7
TRK-163556,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,20,984,4659.54,0.55,0.24,0,0.0
TRK-939482,Singapore (SG),Port of Los Angeles (US),DHL Express,25,1267,4632.0,0.49,0.1,0,0.0
TRK-300896,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,30,1256,7413.83,0.69,0.92,1,10.1
TRK-246991,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,30,1642,5743.53,0.41,0.85,1,7.1
TRK-585100,Ningbo-Zhoushan (CN),Port of Los Angeles (US),OceanNet Logistics,33,1545,7770.54,0.38,0.78,1,9.9
TRK-947272,Singapore (SG),Port of Oakland (US),Maersk Line,29,1424,6601.01,0.13,0.75,0,0.0
TRK-153045,Rotterdam (NL),Port of Oakland (US),Maersk Line,26,2314,8401.5,0.15,0.49,0,0.0
TRK-197793,Singapore (SG),Port of Long Beach (US),DHL Express,17,853,2786.17,0.16,0.16,0,0.0
TRK-526156,Shenzhen Port (CN),Port of Seattle (US),DHL Express,13,2058,4746.5,0.92,0.39,1,4.3
TRK-520521,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,28,1028,8150.6,0.06,0.92,1,5.2
TRK-102260,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,25,179,7106.34,0.12,0.55,0,0.0
TRK-399105,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,24,2194,7412.03,0.46,0.61,1,6.6
TRK-794022,Rotterdam (NL),Port of Seattle (US),DHL Express,20,570,3466.19,0.91,0.85,1,7.2
TRK-299122,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,32,472,5045.56,0.47,0.37,1,7.6
TRK-707314,Rotterdam (NL),Port of Oakland (US),Maersk Line,32,968,10027.45,0.68,0.53,1,8.2
TRK-884309,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,24,1024,3558.17,0.9,0.42,1,7.6
TRK-712554,Shenzhen Port (CN),Port of Oakland (US),Global Freight Air,29,109,7622.37,0.09,0.07,0,0.0
TRK-265080,Shanghai Port (CN),Port of Oakland (US),Maersk Line,5,473,1872.29,0.19,0.58,0,0.0
TRK-992697,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Global Freight Air,29,788,6479.31,0.42,0.3,0,0.0
TRK-171262,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,20,617,4669.61,0.72,0.87,1,7.1
TRK-225710,Yokohama (JP),Port of Long Beach (US),Global Freight Air,25,813,4848.87,0.46,0.17,0,0.0
TRK-723398,Shanghai Port (CN),Port of Oakland (US),Maersk Line,23,784,4248.88,0.65,0.61,1,6.4
TRK-539589,Rotterdam (NL),Port of Oakland (US),Global Freight Air,12,1674,3925.49,0.75,0.52,1,5.6
TRK-648177,Hamburg Port (DE),Port of New York (US),DHL Express,26,335,7029.15,0.41,0.17,0,0.0
TRK-802258,Rotterdam (NL),Port of New York (US),DHL Express,19,1352,5555.13,0.24,0.17,0,0.0
TRK-378517,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,32,1429,7006.38,0.44,0.86,1,8.4
TRK-579434,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,10,1458,3109.09,0.83,0.9,1,3.7
TRK-580547,Yokohama (JP),Port of Oakland (US),Maersk Line,28,1453,5081.36,0.09,0.61,0,0.0
TRK-176819,Yokohama (JP),Port of Long Beach (US),Global Freight Air,6,304,1412.86,0.36,0.53,0,0.0
TRK-378082,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,27,2242,7667.02,0.21,0.68,0,0.0
TRK-356150,Hamburg Port (DE),Port of New York (US),DHL Express,29,1987,7968.89,0.21,0.22,0,0.0
TRK-559469,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,23,1128,4691.03,0.08,0.54,0,0.0
TRK-741390,Singapore (SG),Port of Vancouver (CA),Global Freight Air,9,2380,3767.57,0.17,0.35,0,0.0
TRK-108203,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,31,2396,8825.6,0.51,0.19,0,0.0
TRK-795613,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,20,436,5203.53,0.72,0.22,1,4.6
TRK-221035,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,28,825,7155.91,0.53,0.7,1,6.4
TRK-262998,Hamburg Port (DE),Port of New York (US),Global Freight Air,31,1435,7668.56,0.81,0.72,1,8.3
TRK-320861,Rotterdam (NL),Port of New York (US),DHL Express,22,2006,4551.31,0.39,0.07,0,0.0
TRK-820892,Rotterdam (NL),Port of New York (US),Global Freight Air,29,1396,5629.01,0.16,0.85,1,7.3
TRK-612262,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,8,166,1717.68,0.58,0.71,1,4.0
TRK-765095,Shenzhen Port (CN),Port of New York (US),Maersk Line,12,1641,4419.26,0.27,0.5,0,0.0
TRK-103717,Hamburg Port (DE),Port of Long Beach (US),FedEx Supply Chain,10,1412,1923.64,0.38,0.49,0,0.0
TRK-269430,Rotterdam (NL),Port of Seattle (US),Global Freight Air,34,2497,9993.92,0.12,0.52,0,0.0
TRK-839945,Shenzhen Port (CN),Port of Oakland (US),Maersk Line,12,328,2043.22,0.41,0.92,1,5.6
TRK-217308,Shanghai Port (CN),Port of Vancouver (CA),DHL Express,10,217,1580.84,0.65,0.89,1,4.6
TRK-672092,Shanghai Port (CN),Port of New York (US),Global Freight Air,12,1558,3464.43,0.92,0.69,1,4.2
TRK-679364,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,24,212,5755.47,0.74,0.13,1,6.1
TRK-143860,Hamburg Port (DE),Port of New York (US),Maersk Line,8,2126,3163.58,0.46,0.54,0,0.0
TRK-475190,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,14,2319,4237.61,0.13,0.17,0,0.0
TRK-799330,Shanghai Port (CN),Port of New York (US),Global Freight Air,13,2094,4285.46,0.76,0.15,0,0.0
TRK-526117,Yokohama (JP),Port of Vancouver (CA),DHL Express,9,2465,4031.4,0.89,0.94,1,3.7
TRK-348237,Singapore (SG),Port of Long Beach (US),DHL Express,7,1670,3535.5,0.09,0.75,0,0.0
TRK-532322,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,15,972,4654.9,0.79,0.22,1,4.0
TRK-920391,Shenzhen Port (CN),Port of Vancouver (CA),DHL Express,18,231,3981.46,0.66,0.46,1,6.1
TRK-379766,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,23,1988,6518.95,0.26,0.86,1,5.8
TRK-501124,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,18,920,4980.06,0.16,0.9,0,0.0
TRK-333238,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,11,1302,2304.86,0.76,0.61,1,4.6
TRK-420015,Singapore (SG),Port of Long Beach (US),DHL Express,11,1022,2608.1,0.33,0.27,0,0.0
TRK-124813,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,27,2436,6388.52,0.74,0.84,1,8.2
TRK-444207,Hamburg Port (DE),Port of Los Angeles (US),FedEx Supply Chain,10,2032,3275.89,0.16,0.41,0,0.0
TRK-468203,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,33,2194,9436.42,0.06,0.59,0,0.0
TRK-812526,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,8,893,1839.35,0.21,0.87,0,0.0
TRK-128941,Shanghai Port (CN),Port of New York (US),DHL Express,10,811,2189.8,0.6,0.87,1,3.3
TRK-708792,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,22,1084,5730.5,0.58,0.14,0,0.0
TRK-725550,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,20,1447,3921.51,0.64,0.74,1,6.0
TRK-557592,Yokohama (JP),Port of Oakland (US),Maersk Line,13,1113,2136.84,0.81,0.87,1,4.2
TRK-503906,Yokohama (JP),Port of Long Beach (US),FedEx Supply Chain,9,1745,3031.11,0.35,0.33,0,0.0
TRK-146542,Rotterdam (NL),Port of Seattle (US),Maersk Line,23,1035,5012.31,0.72,0.24,1,7.0
TRK-645175,Singapore (SG),Port of Oakland (US),DHL Express,30,1036,5961.08,0.83,0.88,1,9.9
TRK-481913,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,31,517,7212.21,0.08,0.87,1,6.4
TRK-753425,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,29,2090,4488.33,0.33,0.75,1,6.7
TRK-854717,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,30,2303,7113.9,0.93,0.46,1,9.2
TRK-799287,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,26,1186,6628.81,0.59,0.11,0,0.0
TRK-831076,Hamburg Port (DE),Port of Oakland (US),DHL Express,27,1051,5285.62,0.22,0.08,0,0.0
TRK-301158,Shenzhen Port (CN),Port of Vancouver (CA),OceanNet Logistics,34,2165,9110.51,0.52,0.53,1,8.5
TRK-810219,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,34,1801,6399.96,0.35,0.12,0,0.0
TRK-696750,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,7,899,2302.43,0.52,0.77,1,5.1
TRK-974224,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,22,932,4255.18,0.23,0.5,0,0.0
TRK-320392,Shenzhen Port (CN),Port of Oakland (US),Global Freight Air,12,1387,2384.67,0.7,0.82,1,5.9
TRK-786508,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,8,1623,2658.22,0.31,0.86,1,2.2
TRK-563638,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,11,2298,3962.14,0.84,0.63,1,5.3
TRK-596171,Singapore (SG),Port of Vancouver (CA),DHL Express,5,2039,2420.42,0.38,0.08,0,0.0
TRK-790855,Shanghai Port (CN),Port of New York (US),Global Freight Air,24,2408,7243.19,0.38,0.82,1,5.8
TRK-796101,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,30,1487,8338.33,0.49,0.86,1,9.4
TRK-197923,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,21,620,5122.51,0.28,0.18,0,0.0
TRK-335552,Singapore (SG),Port of Long Beach (US),DHL Express,15,2151,4769.42,0.67,0.66,1,6.2
TRK-125611,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,25,2189,5842.37,0.55,0.64,1,8.0
TRK-740967,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,27,441,7295.68,0.84,0.59,1,8.6
TRK-534572,Rotterdam (NL),Port of Oakland (US),DHL Express,29,554,7809.04,0.41,0.74,1,7.4
TRK-853240,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,6,1945,2649.44,0.59,0.27,0,0.0
TRK-519066,Ningbo-Zhoushan (CN),Port of Long Beach (US),Maersk Line,25,1419,7606.16,0.7,0.6,1,8.7
TRK-887443,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,27,857,5653.98,0.29,0.54,0,0.0
TRK-329471,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,23,1862,7828.86,0.91,0.19,1,6.9
TRK-587115,Shanghai Port (CN),Port of Oakland (US),DHL Express,6,1624,1994.79,0.42,0.68,0,0.0
TRK-989545,Shanghai Port (CN),Port of Seattle (US),DHL Express,12,2189,3088.97,0.12,0.05,0,0.0
TRK-940346,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,23,201,4251.34,0.13,0.88,1,4.7
TRK-686075,Yokohama (JP),Port of New York (US),OceanNet Logistics,14,1620,3583.78,0.84,0.71,1,6.3
TRK-742412,Singapore (SG),Port of Vancouver (CA),Global Freight Air,27,1608,8368.05,0.27,0.49,0,0.0
TRK-547470,Singapore (SG),Port of Oakland (US),OceanNet Logistics,19,588,3074.21,0.69,0.88,1,5.6
TRK-266889,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,25,349,3673.07,0.71,0.22,1,5.3
TRK-371782,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,31,826,8246.12,0.1,0.46,0,0.0
TRK-903013,Singapore (SG),Port of Oakland (US),OceanNet Logistics,31,714,6881.1,0.26,0.16,0,0.0
TRK-757193,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,6,230,1255.92,0.7,0.11,0,0.0
TRK-181247,Rotterdam (NL),Port of New York (US),DHL Express,19,1472,5816.34,0.52,0.43,0,0.0
TRK-384913,Hamburg Port (DE),Port of New York (US),Global Freight Air,16,410,4737.7,0.05,0.22,0,0.0
TRK-184491,Ningbo-Zhoushan (CN),Port of Long Beach (US),DHL Express,22,1731,7899.04,0.37,0.74,1,5.7
TRK-501641,Rotterdam (NL),Port of Long Beach (US),DHL Express,25,847,7211.38,0.94,0.74,1,8.3
TRK-167348,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,11,439,2157.61,0.15,0.37,0,0.0
TRK-668969,Shenzhen Port (CN),Port of Seattle (US),Maersk Line,34,2133,6484.5,0.09,0.07,0,0.0
TRK-316881,Singapore (SG),Port of Seattle (US),OceanNet Logistics,18,2098,4643.96,0.66,0.25,0,0.0
TRK-907189,Yokohama (JP),Port of Vancouver (CA),Maersk Line,30,1928,5951.44,0.43,0.84,1,9.6
TRK-998348,Singapore (SG),Port of Oakland (US),OceanNet Logistics,15,1185,3187.68,0.94,0.26,1,6.5
TRK-600149,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,26,984,4643.09,0.09,0.4,0,0.0
TRK-890075,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,13,2406,5715.56,0.62,0.24,0,0.0
TRK-883826,Rotterdam (NL),Port of Oakland (US),Global Freight Air,13,1143,3287.77,0.41,0.73,1,5.1
TRK-331251,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,28,102,4470.05,0.25,0.53,0,0.0
TRK-557007,Shenzhen Port (CN),Port of Los Angeles (US),OceanNet Logistics,13,679,2294.23,0.84,0.29,1,3.5
TRK-452457,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,13,1318,4879.3,0.78,0.64,1,5.1
TRK-859359,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,31,1083,4275.9,0.68,0.09,1,7.2
TRK-752483,Yokohama (JP),Port of Los Angeles (US),OceanNet Logistics,9,1811,2817.89,0.82,0.5,1,4.0
TRK-720644,Yokohama (JP),Port of Vancouver (CA),Maersk Line,33,2262,8134.09,0.66,0.56,1,8.3
TRK-188025,Rotterdam (NL),Port of Seattle (US),DHL Express,10,315,2570.9,0.82,0.83,1,5.3
TRK-584125,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,15,1816,4912.05,0.73,0.19,0,0.0
TRK-497519,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,15,656,2577.53,0.79,0.17,1,4.2
TRK-442722,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,34,1674,9203.9,0.8,0.51,1,8.2
TRK-888539,Singapore (SG),Port of Seattle (US),FedEx Supply Chain,17,1790,5874.54,0.28,0.62,0,0.0
TRK-975467,Shanghai Port (CN),Port of Seattle (US),Maersk Line,28,774,4917.32,0.07,0.44,0,0.0
TRK-885408,Yokohama (JP),Port of Los Angeles (US),FedEx Supply Chain,6,1535,2921.02,0.14,0.89,0,0.0
TRK-335113,Rotterdam (NL),Port of Los Angeles (US),Maersk Line,8,1365,2742.62,0.74,0.69,1,3.9
TRK-890870,Shanghai Port (CN),Port of Long Beach (US),DHL Express,26,573,6849.95,0.94,0.66,1,8.5
TRK-979995,Shanghai Port (CN),Port of Oakland (US),DHL Express,31,1350,6722.53,0.11,0.79,1,6.6
TRK-350132,Ningbo-Zhoushan (CN),Port of Seattle (US),Maersk Line,23,669,3512.8,0.47,0.9,1,5.7
TRK-691364,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,13,138,3381.51,0.32,0.81,1,5.2
TRK-904150,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,24,1662,8364.9,0.08,0.71,0,0.0
TRK-736745,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,19,968,4317.88,0.3,0.94,1,5.4
TRK-915573,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,32,1033,5415.01,0.08,0.64,0,0.0
TRK-213349,Yokohama (JP),Port of Los Angeles (US),FedEx Supply Chain,16,1909,5176.22,0.92,0.22,1,6.3
TRK-703766,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,25,619,6987.22,0.73,0.61,1,6.4
TRK-849747,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Global Freight Air,25,1659,7332.65,0.77,0.48,1,6.1
TRK-824161,Singapore (SG),Port of Vancouver (CA),DHL Express,21,1359,5055.6,0.25,0.19,0,0.0
TRK-206851,Rotterdam (NL),Port of New York (US),Global Freight Air,26,1113,6198.37,0.44,0.94,1,6.6
TRK-944657,Shanghai Port (CN),Port of Oakland (US),Maersk Line,25,373,4916.55,0.93,0.7,1,8.9
TRK-464069,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,29,2143,5787.24,0.48,0.14,0,0.0
TRK-172306,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,21,1795,4620.79,0.24,0.36,0,0.0
TRK-113266,Singapore (SG),Port of Seattle (US),OceanNet Logistics,12,2051,3925.74,0.53,0.84,1,3.4
TRK-210665,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,17,2263,4251.07,0.93,0.23,1,6.1
TRK-841666,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,19,205,2681.75,0.62,0.69,1,4.6
TRK-869440,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,10,2370,4145.73,0.83,0.69,1,5.4
TRK-745830,Singapore (SG),Port of Oakland (US),OceanNet Logistics,34,210,4730.88,0.86,0.54,1,11.1
TRK-587455,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,30,994,6982.96,0.71,0.12,1,5.8
TRK-381433,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,27,1660,5976.81,0.93,0.35,1,7.0
TRK-392477,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,27,2456,7543.1,0.55,0.7,1,6.8
TRK-697530,Yokohama (JP),Port of Vancouver (CA),OceanNet Logistics,28,1182,5279.7,0.66,0.11,0,0.0
TRK-452737,Shanghai Port (CN),Port of Seattle (US),FedEx Supply Chain,19,452,3283.44,0.91,0.42,1,7.3
TRK-290672,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,9,615,2768.9,0.5,0.54,0,0.0
TRK-936587,Hamburg Port (DE),Port of New York (US),FedEx Supply Chain,23,707,3439.89,0.41,0.6,1,6.3
TRK-725113,Rotterdam (NL),Port of New York (US),Global Freight Air,8,1897,3884.61,0.31,0.37,0,0.0
TRK-110644,Yokohama (JP),Port of Long Beach (US),Maersk Line,7,629,2195.73,0.17,0.69,0,0.0
TRK-353080,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,20,577,3402.88,0.92,0.21,1,7.1
TRK-682144,Singapore (SG),Port of Long Beach (US),OceanNet Logistics,17,652,4724.57,0.45,0.51,0,0.0
