tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,supplier_reliability,delayed,actual_delay_days
TRK-262998,Hamburg Port (DE),Port of New York (US),Global Freight Air,18,1988,5516.77,0.26,0.86,0.81,1,6.0
TRK-320861,Rotterdam (NL),Port of New York (US),DHL Express,12,2251,3562.1,0.9,0.61,0.8,1,4.2
TRK-820892,Rotterdam (NL),Port of New York (US),Global Freight Air,19,1746,5366.74,0.85,0.76,0.74,1,6.8
TRK-612262,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,9,1050,1779.81,0.69,0.49,0.92,1,2.9
TRK-765095,Shenzhen Port (CN),Port of New York (US),Maersk Line,17,914,3350.24,0.41,0.77,0.74,1,4.9
TRK-103717,Hamburg Port (DE),Port of Long Beach (US),FedEx Supply Chain,16,229,3511.92,0.56,0.69,0.87,1,6.9
TRK-269430,Rotterdam (NL),Port of Seattle (US),Global Freight Air,34,1965,6447.45,0.43,0.31,0.88,0,0.0
TRK-839945,Shenzhen Port (CN),Port of Oakland (US),Maersk Line,30,2288,4958.2,0.28,0.7,0.87,1,6.4
TRK-217308,Shanghai Port (CN),Port of Vancouver (CA),DHL Express,20,1447,3921.51,0.64,0.74,0.81,1,5.5
TRK-672092,Shanghai Port (CN),Port of New York (US),Global Freight Air,23,1530,4189.14,0.2,0.22,0.94,0,0.0
TRK-679364,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,5,1954,1848.55,0.6,0.39,0.92,0,0.0
TRK-143860,Hamburg Port (DE),Port of New York (US),Maersk Line,14,2460,3052.86,0.41,0.53,0.97,0,0.0
TRK-475190,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,6,574,1699.79,0.25,0.46,0.74,0,0.0
TRK-799330,Shanghai Port (CN),Port of New York (US),Global Freight Air,28,124,5326.49,0.87,0.38,0.87,1,9.1
TRK-526117,Yokohama (JP),Port of Vancouver (CA),DHL Express,32,1592,10011.92,0.46,0.55,0.95,1,8.5
TRK-348237,Singapore (SG),Port of Long Beach (US),DHL Express,12,426,1916.24,0.72,0.24,0.96,0,0.0
TRK-532322,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,34,2432,8186.77,0.8,0.58,0.79,1,11.5
TRK-920391,Shenzhen Port (CN),Port of Vancouver (CA),DHL Express,22,293,4555.45,0.5,0.74,0.73,1,6.5
TRK-379766,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Maersk Line,27,899,7574.21,0.52,0.77,0.98,1,9.4
TRK-501124,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,11,932,2488.34,0.23,0.5,0.87,0,0.0
TRK-333238,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,29,1387,5086.1,0.7,0.82,0.94,1,9.3
TRK-420015,Singapore (SG),Port of Long Beach (US),DHL Express,9,281,1627.1,0.86,0.06,0.72,0,0.0
TRK-124813,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,27,246,7116.43,0.63,0.68,0.96,1,8.8
TRK-444207,Hamburg Port (DE),Port of Los Angeles (US),FedEx Supply Chain,15,845,3544.95,0.08,0.8,0.8,0,0.0
TRK-468203,Rotterdam (NL),Port of Oakland (US),OceanNet Logistics,34,1004,6348.87,0.9,0.74,0.74,1,13.2
TRK-812526,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,28,2206,9369.56,0.43,0.07,0.78,0,0.0
TRK-128941,Shanghai Port (CN),Port of New York (US),DHL Express,12,336,2071.1,0.63,0.43,0.74,1,6.1
TRK-708792,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,6,904,1839.52,0.16,0.57,0.78,0,0.0
TRK-725550,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,21,1800,6871.86,0.24,0.06,0.74,0,0.0
TRK-557592,Yokohama (JP),Port of Oakland (US),Maersk Line,29,745,5347.84,0.62,0.49,0.87,1,9.4
TRK-503906,Yokohama (JP),Port of Long Beach (US),FedEx Supply Chain,25,801,3782.98,0.2,0.71,0.72,0,0.0
TRK-146542,Rotterdam (NL),Port of Seattle (US),Maersk Line,8,1494,2180.02,0.31,0.37,0.91,0,0.0
TRK-645175,Singapore (SG),Port of Oakland (US),DHL Express,11,1350,3573.09,0.91,0.17,0.84,1,3.8
TRK-481913,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,19,1862,6807.16,0.91,0.19,0.88,1,6.1
TRK-753425,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,13,2443,4891.39,0.67,0.44,0.77,1,6.1
TRK-854717,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,9,207,1660.25,0.58,0.37,0.73,0,0.0
TRK-799287,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,31,1140,7246.3,0.22,0.54,0.95,0,0.0
TRK-831076,Hamburg Port (DE),Port of Oakland (US),DHL Express,12,1850,4398.6,0.93,0.86,0.89,1,6.5
TRK-301158,Shenzhen Port (CN),Port of Vancouver (CA),OceanNet Logistics,13,1661,3505.06,0.88,0.21,0.86,1,6.4
TRK-810219,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,18,434,3412.41,0.88,0.92,0.97,1,7.4
TRK-696750,Hamburg Port (DE),Port of Seattle (US),Global Freight Air,34,1034,7627.63,0.63,0.64,0.81,1,10.4
TRK-974224,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,17,1221,4814.13,0.45,0.41,0.87,0,0.0
TRK-320392,Shenzhen Port (CN),Port of Oakland (US),Global Freight Air,28,1472,7958.85,0.52,0.43,0.95,1,7.1
TRK-786508,Hamburg Port (DE),Port of Seattle (US),OceanNet Logistics,7,645,1993.95,0.53,0.9,0.93,1,5.9
TRK-563638,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,24,128,4548.7,0.48,0.61,0.95,1,8.6
TRK-596171,Singapore (SG),Port of Vancouver (CA),DHL Express,14,1020,3431.39,0.71,0.05,0.84,0,0.0
TRK-790855,Shanghai Port (CN),Port of New York (US),Global Freight Air,28,2133,5540.24,0.09,0.07,0.99,0,0.0
TRK-796101,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,13,498,3279.99,0.25,0.9,0.93,1,3.5
TRK-197923,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,10,906,3694.73,0.47,0.6,0.75,1,6.1
TRK-335552,Singapore (SG),Port of Long Beach (US),DHL Express,31,1707,8897.78,0.6,0.51,0.77,1,7.7
TRK-125611,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,30,1036,7784.5,0.37,0.1,0.98,0,0.0
TRK-740967,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,21,1644,7722.85,0.21,0.41,0.92,0,0.0
TRK-534572,Rotterdam (NL),Port of Oakland (US),DHL Express,34,2363,9206.15,0.61,0.72,0.71,1,11.9
TRK-853240,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,9,1390,2968.65,0.17,0.85,0.98,0,0.0
TRK-519066,Ningbo-Zhoushan (CN),Port of Long Beach (US),Maersk Line,16,269,3871.54,0.55,0.13,0.82,0,0.0
TRK-887443,Singapore (SG),Port of Los Angeles (US),OceanNet Logistics,19,137,4547.25,0.5,0.12,0.76,0,0.0
TRK-329471,Ningbo-Zhoushan (CN),Port of Vancouver (CA),Global Freight Air,17,895,4643.76,0.5,0.48,0.87,0,0.0
TRK-587115,Shanghai Port (CN),Port of Oakland (US),DHL Express,30,1446,7693.76,0.56,0.29,0.95,0,0.0
TRK-989545,Shanghai Port (CN),Port of Seattle (US),DHL Express,23,2483,8064.08,0.83,0.69,0.94,1,8.8
TRK-940346,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,14,455,3747.23,0.19,0.84,0.95,0,0.0
TRK-686075,Yokohama (JP),Port of New York (US),OceanNet Logistics,23,1154,4428.08,0.35,0.72,0.75,1,7.9
TRK-742412,Singapore (SG),Port of Vancouver (CA),Global Freight Air,18,688,2682.07,0.31,0.61,0.98,0,0.0
TRK-547470,Singapore (SG),Port of Oakland (US),OceanNet Logistics,21,459,4878.3,0.54,0.75,0.73,1,8.0
TRK-266889,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,14,1356,4025.32,0.62,0.89,0.73,1,7.4
TRK-371782,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,8,1365,2742.62,0.74,0.69,0.84,1,2.8
TRK-903013,Singapore (SG),Port of Oakland (US),OceanNet Logistics,28,2357,10261.98,0.92,0.72,0.74,1,11.0
TRK-757193,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,11,128,1924.24,0.49,0.74,0.9,1,4.5
TRK-181247,Rotterdam (NL),Port of New York (US),DHL Express,18,837,4389.52,0.46,0.2,0.93,0,0.0
TRK-384913,Hamburg Port (DE),Port of New York (US),Global Freight Air,33,1198,4945.73,0.66,0.64,0.78,1,11.6
TRK-184491,Ningbo-Zhoushan (CN),Port of Long Beach (US),DHL Express,16,1088,4241.82,0.62,0.41,0.78,1,7.1
TRK-501641,Rotterdam (NL),Port of Long Beach (US),DHL Express,5,669,1519.46,0.24,0.08,0.89,0,0.0
TRK-167348,Shenzhen Port (CN),Port of Seattle (US),FedEx Supply Chain,16,1909,5176.22,0.92,0.22,0.95,1,6.6
TRK-668969,Shenzhen Port (CN),Port of Seattle (US),Maersk Line,19,1150,5803.94,0.61,0.17,0.71,0,0.0
TRK-316881,Singapore (SG),Port of Seattle (US),OceanNet Logistics,32,477,8316.96,0.48,0.16,0.74,0,0.0
TRK-907189,Yokohama (JP),Port of Vancouver (CA),Maersk Line,16,1975,3734.45,0.49,0.11,0.87,0,0.0
TRK-998348,Singapore (SG),Port of Oakland (US),OceanNet Logistics,25,1467,7907.95,0.18,0.47,0.9,0,0.0
TRK-600149,Shanghai Port (CN),Port of New York (US),FedEx Supply Chain,22,1489,6932.06,0.64,0.73,0.98,1,8.8
TRK-890075,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,15,313,2451.23,0.14,0.56,0.71,0,0.0
TRK-883826,Rotterdam (NL),Port of Oakland (US),Global Freight Air,26,1209,5103.28,0.75,0.9,0.72,1,9.6
TRK-331251,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,13,2049,2300.32,0.41,0.17,0.86,0,0.0
TRK-557007,Shenzhen Port (CN),Port of Los Angeles (US),OceanNet Logistics,18,2269,5029.39,0.2,0.14,0.88,0,0.0
TRK-452457,Rotterdam (NL),Port of Vancouver (CA),OceanNet Logistics,7,734,2094.08,0.1,0.54,0.91,0,0.0
TRK-859359,Ningbo-Zhoushan (CN),Port of Seattle (US),DHL Express,12,1813,4474.42,0.6,0.49,0.89,1,4.9
TRK-752483,Yokohama (JP),Port of Los Angeles (US),OceanNet Logistics,10,121,2311.97,0.52,0.71,0.72,1,3.0
TRK-720644,Yokohama (JP),Port of Vancouver (CA),Maersk Line,27,1660,5976.81,0.93,0.35,0.75,1,9.6
TRK-188025,Rotterdam (NL),Port of Seattle (US),DHL Express,27,2435,7400.37,0.7,0.26,0.99,1,8.9
TRK-584125,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,7,1837,2250.03,0.43,0.23,0.94,0,0.0
TRK-497519,Hamburg Port (DE),Port of Long Beach (US),OceanNet Logistics,21,1848,6754.11,0.43,0.36,0.81,0,0.0
TRK-442722,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,24,1055,6513.35,0.57,0.44,0.91,1,6.7
TRK-888539,Singapore (SG),Port of Seattle (US),FedEx Supply Chain,6,2482,3869.12,0.3,0.58,0.96,0,0.0
TRK-975467,Shanghai Port (CN),Port of Seattle (US),Maersk Line,16,629,4331.41,0.17,0.69,0.96,0,0.0
TRK-885408,Yokohama (JP),Port of Los Angeles (US),FedEx Supply Chain,27,1039,6082.27,0.42,0.11,0.83,0,0.0
TRK-335113,Rotterdam (NL),Port of Los Angeles (US),Maersk Line,26,1951,6824.98,0.57,0.65,0.73,1,8.6
TRK-890870,Shanghai Port (CN),Port of Long Beach (US),DHL Express,29,2140,8807.32,0.06,0.58,0.87,0,0.0
TRK-979995,Shanghai Port (CN),Port of Oakland (US),DHL Express,8,400,1450.45,0.85,0.45,0.8,1,4.1
TRK-350132,Ningbo-Zhoushan (CN),Port of Seattle (US),Maersk Line,16,961,3443.87,0.58,0.9,0.77,1,5.8
TRK-691364,Ningbo-Zhoushan (CN),Port of Seattle (US),FedEx Supply Chain,32,2056,7782.35,0.75,0.68,0.83,1,11.6
TRK-904150,Hamburg Port (DE),Port of Long Beach (US),Global Freight Air,10,719,1803.23,0.94,0.16,0.77,1,2.9
TRK-736745,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,5,2266,1794.22,0.13,0.14,0.87,0,0.0
TRK-915573,Singapore (SG),Port of Long Beach (US),FedEx Supply Chain,16,589,3518.14,0.67,0.07,0.79,0,0.0
TRK-213349,Yokohama (JP),Port of Los Angeles (US),FedEx Supply Chain,33,1308,6350.15,0.52,0.36,0.85,1,6.9
TRK-703766,Rotterdam (NL),Port of Seattle (US),OceanNet Logistics,34,407,5552.3,0.66,0.92,0.73,1,12.2
TRK-849747,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Global Freight Air,10,616,2326.24,0.65,0.93,0.81,1,3.3
TRK-824161,Singapore (SG),Port of Vancouver (CA),DHL Express,22,402,3065.38,0.89,0.67,0.9,1,7.0
TRK-206851,Rotterdam (NL),Port of New York (US),Global Freight Air,20,1777,5593.1,0.15,0.64,0.99,0,0.0
TRK-944657,Shanghai Port (CN),Port of Oakland (US),Maersk Line,10,674,2645.24,0.83,0.75,0.86,1,5.8
TRK-464069,Yokohama (JP),Port of Seattle (US),FedEx Supply Chain,8,593,2190.59,0.86,0.84,0.79,1,6.0
TRK-172306,Yokohama (JP),Port of Vancouver (CA),FedEx Supply Chain,5,1467,1899.74,0.35,0.62,0.88,0,0.0
TRK-113266,Singapore (SG),Port of Seattle (US),OceanNet Logistics,19,1016,4568.62,0.59,0.54,0.83,1,4.5
